,3,4,5,6,7
407,Ark.-Pine Bluff,Washington St.,V,50.0,65.0
408,Ark.-Pine Bluff,Mississippi Val.,V,80.0,76.0
409,Ark.-Pine Bluff,Alabama A&M,V,49.0,59.0
410,Ark.-Pine Bluff,Alabama St.,V,61.0,56.0
411,Ark.-Pine Bluff,Southern U.,H,56.0,75.0
412,Ark.-Pine Bluff,Alcorn,H,54.0,82.0
413,Ark.-Pine Bluff,Prairie View,V,54.0,67.0
414,Ark.-Pine Bluff,Texas Southern,V,57.0,68.0
415,Ark.-Pine Bluff,Grambling,H,47.0,49.0
416,Ark.-Pine Bluff,Jackson St.,H,45.0,49.0
417,Ark.-Pine Bluff,Alabama A&M,H,54.0,58.0
418,Ark.-Pine Bluff,Alabama St.,H,49.0,57.0
419,Ark.-Pine Bluff,Southern U.,V,49.0,73.0
420,Ark.-Pine Bluff,Alcorn,V,52.0,60.0
421,Ark.-Pine Bluff,Prairie View,H,61.0,69.0
422,Ark.-Pine Bluff,Texas Southern,H,74.0,72.0
423,Ark.-Pine Bluff,Grambling,V,,
424,Ark.-Pine Bluff,Jackson St.,V,,
425,Ark.-Pine Bluff,Mississippi Val.,H,,
426,Arkansas,Rice,H,91.0,43.0
427,Arkansas,North Texas,H,66.0,43.0
428,Arkansas,Montana,H,64.0,46.0
429,Arkansas,Texas Southern,H,82.0,51.0
430,Arkansas,South Dakota,H,77.0,56.0
431,Arkansas,Georgia Tech,V,62.0,61.0
432,Arkansas,Northern Ky.,H,66.0,60.0
433,Arkansas,Austin Peay,H,69.0,61.0
434,Arkansas,Western Ky.,V,79.0,86.0
435,Arkansas,Tulsa,H,98.0,79.0
436,Arkansas,Valparaiso,H,72.0,68.0
437,Arkansas,Indiana,V,71.0,64.0
438,Arkansas,Texas A&M,H,69.0,59.0
439,Arkansas,LSU,V,77.0,79.0
440,Arkansas,Ole Miss,V,76.0,72.0
441,Arkansas,Vanderbilt,H,75.0,55.0
442,Arkansas,Kentucky,H,66.0,73.0
443,Arkansas,Mississippi St.,V,70.0,77.0
444,Arkansas,TCU,H,78.0,67.0
445,Arkansas,South Carolina,H,77.0,79.0
446,Arkansas,Alabama,V,82.0,78.0
447,Arkansas,Auburn,H,76.0,79.0
448,Arkansas,Missouri,V,79.0,83.0
449,Arkansas,Tennessee,V,61.0,82.0
450,Arkansas,Mississippi St.,H,77.0,78.0
451,Arkansas,Florida,V,59.0,73.0
452,Arkansas,Missouri,H,78.0,68.0
453,Arkansas,Tennessee,H,86.0,69.0
454,Arkansas,Georgia,V,,
455,Arkansas,LSU,H,,
456,Arkansas,Texas A&M,V,,
457,Arkansas St.,Ark.-Monticello,H,65.0,49.0
458,Arkansas St.,Ole Miss,V,43.0,71.0
459,Arkansas St.,VMI,H,71.0,56.0
460,Arkansas St.,UC Davis,H,80.0,67.0
461,Arkansas St.,Idaho,H,82.0,68.0
462,Arkansas St.,Colorado St.,V,80.0,78.0
463,Arkansas St.,SFA,H,57.0,76.0
464,Arkansas St.,Omaha,H,78.0,73.0
465,Arkansas St.,Tulsa,V,66.0,63.0
466,Arkansas St.,Missouri St.,V,53.0,75.0
467,Arkansas St.,Louisiana,H,79.0,67.0
468,Arkansas St.,La.-Monroe,V,62.0,59.0
469,Arkansas St.,Freed-Hardeman,H,84.0,73.0
470,Arkansas St.,UT Arlington,H,52.0,73.0
471,Arkansas St.,Texas St.,H,67.0,70.0
472,Arkansas St.,Georgia St.,H,90.0,87.0
473,Arkansas St.,South Alabama,V,59.0,75.0
474,Arkansas St.,Troy,H,76.0,68.0
475,Arkansas St.,Appalachian St.,V,80.0,83.0
476,Arkansas St.,Coastal Carolina,V,80.0,75.0
477,Arkansas St.,South Alabama,H,75.0,71.0
478,Arkansas St.,Troy,V,78.0,62.0
479,Arkansas St.,Appalachian St.,H,64.0,71.0
480,Arkansas St.,Coastal Carolina,H,77.0,83.0
481,Arkansas St.,Little Rock,V,87.0,90.0
482,Arkansas St.,UT Arlington,V,67.0,77.0
483,Arkansas St.,Texas St.,V,64.0,69.0
