,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
82,Duquesne,27,19,8,.704,6.97,1.12,9,6,9,3,5,3,1923,1765,,67.6,104.4,.310,.431,.543,50.3,57.0,10.0,15.5,.510,15.9,29.3,.226
83,East Carolina,29,11,18,.379,-1.07,1.48,5,11,9,6,1,10,1986,2060,,70.8,95.9,.369,.334,.511,50.7,57.6,9.5,9.6,.467,17.0,27.4,.268
84,East Tennessee State,30,26,4,.867,7.21,-1.79,15,2,15,1,11,3,2286,1889,,68.1,111.8,.369,.386,.567,53.9,51.5,12.5,11.0,.539,15.1,33.6,.253
85,Eastern Illinois,29,15,14,.517,-5.28,-7.39,8,9,10,2,4,11,2175,2025,,71.2,104.4,.302,.318,.537,50.8,49.2,10.6,11.7,.513,15.2,29.8,.202
86,Eastern Kentucky,30,14,16,.467,-9.79,-4.43,11,6,9,4,5,10,2276,2304,,76.6,99.1,.319,.405,.520,45.2,47.0,11.9,5.4,.483,16.3,26.0,.232
87,Eastern Michigan,28,15,13,.536,-1.68,1.24,5,10,10,4,3,9,1824,1752,,67.8,96.0,.432,.371,.515,49.3,43.2,14.9,11.7,.485,18.8,28.5,.271
88,Eastern Washington,28,20,8,.714,1.43,-1.46,13,4,11,2,9,6,2263,2049,,74.8,107.0,.295,.422,.554,50.9,60.5,9.6,9.1,.529,15.4,28.1,.206
89,Elon,30,11,19,.367,-8.07,-1.74,7,10,8,8,3,11,2067,2160,,67.7,101.4,.286,.488,.537,48.5,57.0,6.8,6.1,.504,15.5,23.5,.212
90,Evansville,30,9,21,.300,-6.97,0.72,0,17,5,9,3,10,2034,2239,,67.8,97.5,.324,.420,.531,46.8,51.8,6.7,5.6,.494,16.6,20.6,.237
91,Fairfield,27,11,16,.407,-8.68,-4.49,7,9,5,6,5,8,1594,1707,,63.8,90.8,.335,.292,.480,52.1,42.9,7.9,8.6,.439,18.3,30.3,.234
92,Fairleigh Dickinson,28,10,18,.357,-10.20,-5.65,8,9,7,5,3,13,2012,2086,,69.0,103.3,.289,.357,.546,47.8,44.9,9.2,9.3,.515,16.4,26.8,.210
93,Florida A&M,26,12,14,.462,-12.07,-5.99,10,5,8,0,4,12,1754,1912,,70.8,93.4,.389,.235,.487,48.6,40.9,10.3,5.2,.453,17.9,31.3,.248
94,Florida Atlantic,29,16,13,.552,-1.55,-1.36,8,8,14,3,2,10,2047,1987,,70.4,99.5,.276,.424,.522,51.5,48.0,10.1,5.8,.493,16.9,29.2,.195
95,Florida Gulf Coast,30,10,20,.333,-10.17,-4.14,7,8,6,9,4,11,1843,1976,,66.9,91.1,.235,.416,.497,49.7,56.0,9.0,12.0,.471,20.1,29.0,.162
