,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
295,St. John's (NY),28,14,14,.500,9.89,6.89,3,12,11,6,1,7,2078,1994,,1120,679,1652,.411,223,699,.319,413,612,.675,333,1150,397,146,124,481,488
296,Stanford,28,19,9,.679,14.38,5.70,8,7,13,4,4,4,1968,1725,,1130,609,1559,.391,169,588,.287,338,496,.681,287,967,284,176,109,438,494
297,Stephen F. Austin,28,25,3,.893,3.73,-7.11,16,1,14,1,11,2,2259,1872,,1125,603,1421,.424,197,557,.354,469,649,.723,242,829,329,217,100,617,607
298,Stetson,30,15,15,.500,-10.39,-5.43,9,6,7,6,7,8,1907,1976,,1205,686,1653,.415,269,799,.337,335,494,.678,291,949,422,170,94,358,517
299,Stony Brook,29,18,11,.621,-1.50,-4.07,9,5,9,4,7,7,2030,1911,,1170,675,1738,.388,235,728,.323,326,471,.692,303,1053,389,186,86,394,498
300,Syracuse,28,16,12,.571,12.28,7.35,9,8,11,6,5,4,2069,1931,,1125,657,1623,.405,246,780,.315,371,509,.729,329,1028,476,173,74,388,494
301,Temple,28,14,14,.500,6.94,5.87,6,9,8,5,4,7,1945,1915,,1135,673,1681,.400,220,710,.310,349,486,.718,283,1070,382,189,117,381,485
302,Tennessee-Martin,28,8,20,.286,-14.43,-3.86,4,13,5,6,2,12,2107,2304,,1125,853,1721,.496,278,716,.388,320,465,.688,324,993,516,185,88,351,480
303,Tennessee State,30,17,13,.567,-6.52,-5.49,9,8,11,2,4,11,2168,2148,,1205,729,1762,.414,209,658,.318,481,663,.725,310,978,324,196,81,371,502
304,Tennessee Tech,30,9,21,.300,-13.72,-4.58,6,11,6,8,3,11,1962,2166,,1210,802,1734,.463,236,653,.361,326,462,.706,281,1063,478,212,96,413,403
305,Tennessee,28,15,13,.536,11.07,7.57,7,8,10,5,3,7,1872,1774,,1120,609,1543,.395,169,529,.319,387,551,.702,295,937,275,217,85,364,544
306,Texas A&M-Corpus Christi,28,11,17,.393,-10.97,-5.74,7,10,7,6,4,11,1814,1912,,1120,650,1531,.425,163,541,.301,449,612,.734,276,889,349,238,95,362,497
307,Texas A&M,27,14,13,.519,3.93,6.08,8,7,10,6,4,3,1689,1747,,1085,609,1493,.408,239,741,.323,290,387,.749,298,938,392,181,100,408,516
308,Texas-Arlington,29,13,16,.448,2.86,2.56,9,9,8,6,5,9,2034,1975,,1160,697,1686,.413,185,612,.302,396,582,.680,309,1098,372,147,92,361,490
309,Texas Christian,28,15,13,.536,9.27,9.09,6,9,13,4,1,8,1827,1801,,1135,656,1517,.432,188,521,.361,301,458,.657,271,931,424,172,109,401,426
310,Texas-El Paso,28,14,14,.500,-1.27,0.17,5,10,12,4,1,9,1867,1846,,1125,649,1556,.417,175,575,.304,373,529,.705,257,985,298,170,69,392,500
311,Texas-Rio Grande Valley,28,12,16,.429,-7.66,-3.58,7,7,10,3,2,11,2022,1987,,1130,673,1462,.460,190,516,.368,451,632,.714,247,968,404,159,64,487,526
312,Texas-San Antonio,28,12,16,.429,-2.47,0.57,6,9,9,4,3,8,2190,2166,,1140,745,1699,.438,232,677,.343,444,637,.697,276,1073,350,160,99,391,508
313,Texas Southern,27,13,14,.481,-10.19,-4.46,10,4,8,1,5,13,1948,2059,,1095,725,1672,.434,207,600,.345,402,559,.719,303,1013,381,201,107,398,565
314,Texas State,29,19,10,.655,5.47,-0.31,12,6,14,3,5,7,2113,1847,,1160,620,1536,.404,190,581,.327,417,581,.718,297,981,316,146,96,435,534
315,Texas Tech,28,18,10,.643,17.32,7.39,9,6,13,2,3,6,2042,1764,,1135,611,1510,.405,161,536,.300,376,538,.699,276,925,273,173,94,461,545
316,Texas,28,17,11,.607,10.60,9.24,7,8,11,5,4,5,1810,1772,,1120,645,1528,.422,135,418,.323,347,531,.653,314,999,279,180,86,391,404
317,Toledo,28,14,14,.500,1.23,-1.48,6,9,7,6,7,8,2112,1980,,1125,717,1722,.416,224,640,.350,322,457,.705,309,1001,328,192,84,331,518
318,Towson,30,18,12,.600,0.44,-1.52,11,6,9,5,7,4,2121,1981,,1210,682,1687,.404,236,728,.324,381,517,.737,279,956,361,143,83,331,514
319,Troy,29,9,20,.310,-8.79,-1.60,5,13,6,8,3,12,2004,2120,,1170,729,1666,.438,220,658,.334,442,630,.702,313,1111,405,193,106,424,512
320,Tulane,28,12,16,.429,0.43,2.82,4,12,7,5,3,7,1907,1974,,1125,713,1566,.455,238,692,.344,310,450,.689,277,1068,450,143,80,446,504
321,Tulsa,28,19,9,.679,7.91,3.09,11,4,14,2,5,6,1920,1785,,1140,628,1583,.397,213,726,.293,316,445,.710,290,965,334,205,97,407,533
322,UCLA,29,18,11,.621,9.33,7.72,11,5,12,4,5,4,2032,1961,,1170,665,1551,.429,222,589,.377,409,555,.737,242,891,311,168,89,380,538
323,Utah State,30,23,7,.767,14.37,3.84,12,5,15,1,4,5,2313,1905,,1215,682,1743,.391,226,734,.308,315,456,.691,240,943,320,197,99,387,577
324,Utah Valley,29,11,18,.379,-7.19,-4.15,5,9,6,6,5,12,2054,2070,,1170,736,1733,.425,166,511,.325,432,578,.747,272,1043,350,172,108,366,555
325,Utah,28,15,13,.536,8.66,7.73,6,10,11,2,1,9,1977,1951,,1130,735,1678,.438,214,597,.358,267,368,.726,271,932,370,186,106,349,542
326,Valparaiso,30,16,14,.533,1.94,1.08,9,8,11,2,4,9,2185,2133,,1215,776,1710,.454,214,597,.358,367,530,.692,277,1065,404,191,84,442,488
327,Vanderbilt,28,9,19,.321,2.99,5.92,1,14,9,10,0,8,1992,2074,,1130,733,1571,.467,181,513,.353,427,581,.735,267,1014,363,156,107,393,560
328,Vermont,29,22,7,.759,6.21,-4.18,12,2,10,3,11,3,2040,1700,,1160,581,1553,.374,198,627,.316,340,477,.713,239,946,296,169,75,374,500
329,Villanova,28,22,6,.786,17.29,9.72,11,4,12,2,7,3,2066,1854,,1125,712,1651,.431,162,517,.313,268,382,.702,246,958,335,162,96,322,454
330,Virginia Commonwealth,28,17,11,.607,9.85,4.07,7,8,13,3,4,6,1976,1814,,1120,634,1511,.420,174,518,.336,372,526,.707,287,1027,330,188,92,485,485
331,VMI,30,8,22,.267,-6.79,-2.16,3,14,5,10,2,11,2149,2114,,1220,722,1664,.434,219,669,.327,451,632,.714,291,1069,393,163,84,395,449
332,Virginia Tech,28,15,13,.536,8.76,5.19,6,11,11,6,3,5,1960,1860,,1150,676,1628,.415,222,694,.320,286,420,.681,249,1029,360,111,96,334,406
333,Virginia,27,20,7,.741,11.60,6.67,12,5,12,3,6,4,1556,1423,,1095,518,1392,.372,175,595,.294,212,310,.684,213,822,247,183,67,318,375
334,Wagner,28,8,20,.286,-14.27,-5.49,5,12,5,7,3,13,1923,2130,,1135,701,1529,.458,241,630,.383,487,690,.706,264,964,419,193,90,363,489
335,Wake Forest,27,12,15,.444,7.48,8.11,5,12,8,5,1,9,1973,1990,,1100,694,1618,.429,189,582,.325,413,587,.704,267,962,342,200,102,309,565
336,Washington State,28,14,14,.500,4.39,3.75,5,10,11,5,1,7,1939,1921,,1130,715,1578,.453,161,500,.322,330,481,.686,239,1040,318,146,100,425,511
337,Washington,28,13,15,.464,12.17,7.49,3,12,10,6,1,7,1956,1825,,1130,636,1686,.377,194,639,.304,359,506,.709,348,1002,381,189,54,377,516
338,Weber State,27,11,16,.407,-8.00,0.29,7,9,8,4,3,8,1877,1909,,1090,727,1620,.449,191,545,.350,264,373,.708,237,925,379,162,68,326,443
339,West Virginia,28,19,9,.679,18.69,10.22,7,8,13,1,3,8,1964,1727,,1125,581,1512,.384,160,564,.284,405,568,.713,273,906,278,209,92,445,598
340,Western Carolina,28,18,10,.643,-0.14,-2.10,10,7,10,4,8,6,2232,2096,,1130,748,1729,.433,219,714,.307,381,528,.722,255,931,338,187,101,348,539
341,Western Illinois,25,5,20,.200,-14.32,-2.84,2,13,4,10,1,10,1871,2057,,1010,734,1528,.480,205,539,.380,384,513,.749,212,957,308,121,66,288,392
342,Western Kentucky,28,19,9,.679,4.39,0.91,12,4,12,2,5,5,2134,1997,,1140,772,1755,.440,200,666,.300,253,349,.725,314,1012,359,155,82,385,524
343,Western Michigan,28,11,17,.393,-5.95,-0.03,4,11,8,5,3,10,1937,2022,,1135,727,1673,.435,208,634,.328,360,519,.694,292,1034,349,173,82,324,543
344,Wichita State,28,21,7,.750,13.47,5.18,9,6,16,2,4,4,2022,1790,,1130,603,1544,.391,159,536,.297,425,608,.699,246,976,276,178,113,415,536
345,William & Mary,30,20,10,.667,-2.07,-2.69,12,5,10,2,10,7,2139,2061,,1200,757,1781,.425,207,607,.341,340,473,.719,251,957,335,204,87,298,484
346,Winthrop,30,20,10,.667,0.77,-5.73,14,3,10,4,10,6,2421,2151,,1215,736,1675,.439,210,640,.328,469,704,.666,262,1002,379,199,101,447,609
347,Wisconsin,28,18,10,.643,15.57,10.78,11,6,13,1,5,6,1888,1754,,1125,654,1577,.415,175,519,.337,271,389,.697,250,955,313,145,82,312,467
348,Wofford,30,16,14,.533,0.24,-1.65,8,9,10,5,6,9,2176,2054,,1215,727,1652,.440,231,708,.326,369,522,.707,244,946,376,180,71,386,480
349,Wright State,30,24,6,.800,3.06,-6.77,14,3,14,2,8,3,2460,2129,,1215,792,1904,.416,191,622,.307,354,497,.712,345,1103,320,189,84,431,603
350,Wyoming,29,7,22,.241,-4.31,4.47,2,15,4,13,3,7,1779,2011,,1175,702,1617,.434,219,676,.324,388,562,.690,280,1100,344,182,69,375,509
351,Xavier,28,18,10,.643,12.94,9.11,7,8,12,4,4,5,1983,1876,,1145,674,1677,.402,179,610,.293,349,484,.721,288,998,338,195,98,362,505
352,Yale,26,20,6,.769,7.57,-1.81,8,2,8,1,10,5,2006,1674,,1080,599,1547,.387,185,615,.301,291,402,.724,212,835,307,176,76,317,461
353,Youngstown State,30,16,14,.533,-5.77,-4.77,9,8,12,4,4,10,2204,2158,,1215,788,1788,.441,206,586,.352,376,539,.698,311,1051,389,167,100,359,511
