,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
57,Cincinnati,27,18,9,.667,12.66,6.44,11,4,12,2,4,5,1984,1816,,1120,643,1609,.400,182,558,.326,348,474,.734,276,913,321,184,105,382,519
58,Citadel,28,6,22,.214,-13.47,-1.27,0,17,3,11,3,11,2110,2258,,1135,821,1820,.451,260,776,.335,356,510,.698,299,1080,421,215,72,393,488
59,Clemson,27,14,13,.519,10.58,7.50,8,9,10,5,3,7,1803,1720,,1095,605,1494,.405,207,651,.318,303,423,.716,232,937,319,177,66,357,431
60,Cleveland State,30,11,19,.367,-10.75,-2.41,7,10,6,8,3,11,1927,2144,,1210,721,1687,.427,219,648,.338,483,669,.722,353,1074,395,215,140,435,588
61,Coastal Carolina,29,14,15,.483,-0.73,-0.28,7,11,9,9,5,5,2260,2201,,1160,707,1674,.422,253,738,.343,534,731,.731,297,994,398,218,93,414,557
62,Colgate,30,22,8,.733,0.60,-5.37,13,4,12,1,9,7,2264,2052,,1205,773,1780,.434,214,704,.304,292,449,.650,285,1067,381,172,87,374,492
63,College of Charleston,29,16,13,.552,0.85,-0.72,10,7,9,5,6,6,2034,1964,,1160,690,1639,.421,200,624,.321,384,519,.740,298,1050,352,146,93,352,499
64,Colorado State,30,19,11,.633,7.11,4.42,10,7,11,4,5,6,2256,2153,,1220,796,1803,.441,258,761,.339,303,415,.730,256,1000,398,189,79,386,577
65,Colorado,29,21,8,.724,16.38,8.28,10,6,13,3,4,5,2064,1829,,1165,675,1653,.408,180,529,.340,299,423,.707,245,907,310,211,87,382,549
66,Columbia,26,6,20,.231,-9.12,-3.00,1,9,5,5,0,14,1739,1862,,1055,706,1587,.445,190,590,.322,260,384,.677,242,994,333,152,106,301,394
