,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
42,UC-Davis,29,13,16,.448,-4.46,-2.39,7,6,7,3,5,11,2127,2077,,68.6,103.6,.350,.385,.557,51.7,57.8,8.8,7.5,.524,17.8,28.1,.251
43,UC-Irvine,30,20,10,.667,4.00,-2.00,12,2,10,1,8,8,2228,1957,,69.3,94.1,.354,.351,.488,43.3,48.2,7.9,6.3,.446,15.0,24.4,.249
44,UC-Riverside,30,15,15,.500,-3.91,-4.09,5,9,10,5,5,10,1944,1835,,64.6,94.2,.309,.328,.498,45.8,49.6,8.6,9.0,.465,15.0,21.2,.211
45,UC-Santa Barbara,28,19,9,.679,-0.07,-4.23,8,5,11,3,8,6,2013,1865,,64.8,102.2,.295,.353,.542,46.1,47.0,6.9,6.5,.513,16.2,24.7,.212
46,University of California,28,12,16,.429,3.26,8.76,6,9,11,5,1,8,1762,1916,,65.9,102.9,.371,.389,.534,50.7,51.5,7.3,9.5,.492,15.5,26.7,.272
47,Campbell,29,14,15,.483,-8.51,-7.88,5,12,7,5,6,9,1984,1924,,67.1,98.5,.377,.339,.530,52.9,44.2,9.4,6.8,.491,18.6,28.9,.267
48,Canisius,28,10,18,.357,-7.85,-5.06,5,12,6,5,3,12,1916,1994,,70.4,101.2,.350,.366,.547,51.5,48.7,10.0,7.8,.517,19.0,30.5,.242
49,Central Arkansas,28,10,18,.357,-10.40,-1.77,9,8,8,3,2,14,2096,2309,,76.1,105.5,.345,.369,.551,49.7,54.4,11.6,8.9,.519,15.8,28.0,.245
50,Central Connecticut State,30,4,26,.133,-20.42,-4.38,3,14,4,8,0,16,1880,2311,,70.4,109.4,.322,.401,.560,55.5,56.1,10.4,10.9,.535,15.9,33.2,.221
51,Central Florida,27,14,13,.519,4.28,4.06,5,10,8,6,4,6,1858,1852,,69.2,98.2,.293,.368,.514,50.8,58.9,9.8,7.7,.477,17.6,30.8,.217
52,Central Michigan,28,13,15,.464,-2.88,-0.20,6,9,11,4,2,11,2225,2149,,75.4,101.4,.256,.393,.561,50.8,49.8,8.7,8.2,.537,19.5,27.4,.183
53,Charleston Southern,29,13,16,.448,-13.19,-6.64,7,10,8,6,5,9,2009,2102,,69.0,103.8,.289,.370,.548,53.5,52.8,9.9,8.7,.524,16.7,28.9,.200
54,Charlotte,26,15,11,.577,1.20,-1.49,9,6,12,1,3,10,1771,1701,,67.2,96.0,.285,.401,.531,49.8,50.9,10.4,10.2,.507,18.2,22.7,.192
55,Chattanooga,30,18,12,.600,-0.24,-2.41,9,8,9,4,7,8,2188,2049,,68.5,99.4,.269,.364,.529,48.2,45.4,8.1,8.9,.501,15.6,23.2,.190
56,Chicago State,28,4,24,.143,-28.14,-2.66,0,13,3,11,1,11,1723,2292,,70.5,116.1,.401,.397,.595,54.0,60.4,11.9,6.1,.559,14.7,31.1,.298
57,Cincinnati,27,18,9,.667,12.66,6.44,11,4,12,2,4,5,1984,1816,,69.4,93.5,.295,.347,.495,46.9,49.9,9.5,10.5,.456,17.2,27.3,.216
58,Citadel,28,6,22,.214,-13.47,-1.27,0,17,3,11,3,11,2110,2258,,76.0,104.7,.280,.426,.547,52.8,51.3,10.0,8.0,.523,16.0,29.0,.196
59,Clemson,27,14,13,.519,10.58,7.50,8,9,10,5,3,7,1803,1720,,66.5,94.4,.283,.436,.507,50.5,52.7,9.7,8.2,.474,17.4,24.9,.203
60,Cleveland State,30,11,19,.367,-10.75,-2.41,7,10,6,8,3,11,1927,2144,,68.8,103.1,.397,.384,.535,50.9,54.8,10.3,11.2,.492,17.8,33.6,.286
61,Coastal Carolina,29,14,15,.483,-0.73,-0.28,7,11,9,9,5,5,2260,2201,,74.1,102.4,.437,.441,.544,45.9,56.3,10.1,8.1,.498,17.0,27.6,.319
62,Colgate,30,22,8,.733,0.60,-5.37,13,4,12,1,9,7,2264,2052,,69.2,98.5,.252,.396,.515,49.6,49.3,8.3,8.9,.494,15.8,26.3,.164
63,College of Charleston,29,16,13,.552,0.85,-0.72,10,7,9,5,6,6,2034,1964,,67.2,100.9,.317,.381,.521,52.6,51.0,7.5,9.6,.482,15.7,29.1,.234
64,Colorado State,30,19,11,.633,7.11,4.42,10,7,11,4,5,6,2256,2153,,69.7,101.3,.230,.422,.538,48.4,50.0,8.9,7.7,.513,16.2,24.2,.168
65,Colorado,29,21,8,.724,16.38,8.28,10,6,13,3,4,5,2064,1829,,67.9,92.5,.256,.320,.493,45.6,45.9,10.7,8.9,.463,17.1,23.8,.181
66,Columbia,26,6,20,.231,-9.12,-3.00,1,9,5,5,0,14,1739,1862,,69.6,101.5,.242,.372,.526,52.5,47.2,8.3,11.0,.505,14.5,25.6,.164
67,Connecticut,28,16,12,.571,10.62,5.30,7,8,13,3,1,7,2017,1868,,69.0,93.3,.350,.299,.508,48.3,50.7,10.1,10.5,.464,19.5,28.9,.257
68,Coppin State,29,9,20,.310,-14.41,-7.55,5,9,5,5,4,15,1974,2173,,74.0,100.4,.307,.410,.521,52.1,57.0,8.9,8.2,.492,16.6,28.0,.210
69,Cornell,23,6,17,.261,-8.28,-2.04,3,7,6,4,0,13,1541,1603,,66.1,103.8,.292,.378,.533,51.9,53.6,8.6,11.2,.506,16.1,29.8,.203
70,Creighton,28,22,6,.786,17.43,9.39,11,4,15,1,6,4,2189,1935,,70.3,97.9,.226,.385,.500,51.3,49.9,6.8,9.5,.473,15.4,29.3,.161
71,Dartmouth,25,10,15,.400,-4.53,-3.07,3,7,6,4,3,10,1617,1603,,66.7,95.1,.282,.439,.510,49.0,51.5,8.7,7.3,.491,16.0,21.1,.175
72,Davidson,27,15,12,.556,9.42,2.79,9,6,10,1,4,7,1977,1798,,65.7,98.7,.330,.369,.516,48.9,49.9,7.7,9.4,.480,15.1,24.4,.234
73,Dayton,28,26,2,.929,18.46,3.71,15,0,15,0,8,0,2238,1825,,68.3,94.2,.306,.324,.495,48.0,47.0,8.0,8.1,.467,16.7,27.4,.200
74,Delaware State,27,3,24,.111,-22.10,-7.94,2,11,3,10,0,13,1950,2269,,75.9,109.7,.433,.399,.578,53.7,55.2,11.1,8.9,.544,16.7,30.5,.307
75,Delaware,30,20,10,.667,-1.72,-3.75,10,7,10,3,6,6,2230,2125,,68.8,102.5,.290,.390,.531,49.5,50.8,9.6,7.4,.495,14.8,26.2,.219
76,Denver,29,6,23,.207,-10.58,-1.79,2,13,5,8,0,14,1997,2226,,71.7,106.2,.385,.435,.564,52.1,49.1,8.8,6.7,.522,15.9,25.0,.291
77,DePaul,28,14,14,.500,8.57,8.20,2,13,10,7,4,7,2025,1986,,72.1,97.4,.363,.420,.527,49.3,58.8,10.7,9.0,.484,19.6,29.3,.268
78,Detroit Mercy,30,7,23,.233,-9.88,-1.58,5,12,5,8,1,14,2085,2334,,70.5,109.9,.320,.395,.560,50.5,62.7,8.9,10.6,.530,14.9,30.5,.231
