,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
283,South Florida,28,12,16,.429,4.99,4.84,5,10,9,6,2,6,1751,1747,,65.4,94.5,.338,.401,.540,47.7,50.5,10.1,9.3,.510,21.0,24.6,.233
284,Southeast Missouri State,30,7,23,.233,-14.28,-5.00,3,14,6,7,0,15,1976,2220,,68.8,107.1,.329,.369,.564,52.1,56.5,8.1,9.1,.538,16.1,27.8,.229
285,Southeastern Louisiana,28,6,22,.214,-16.57,-5.05,3,14,4,8,2,13,1924,2193,,73.7,104.8,.401,.362,.579,54.0,56.8,10.0,8.0,.539,20.5,33.0,.300
286,Southern California,29,20,9,.690,11.31,7.14,9,7,12,2,5,6,2054,1933,,70.2,93.7,.276,.392,.482,47.9,51.3,11.1,7.5,.450,15.8,28.4,.191
287,SIU Edwardsville,30,8,22,.267,-13.87,-5.77,5,12,4,9,4,13,2021,2191,,70.3,103.8,.407,.410,.546,51.1,61.2,8.6,8.1,.502,16.7,29.5,.299
288,Southern Illinois,30,16,14,.533,0.42,-0.03,10,7,12,3,3,9,1884,1843,,64.0,95.6,.235,.349,.504,53.6,53.1,9.8,10.1,.480,17.9,29.6,.160
289,Southern Methodist,27,19,8,.704,8.25,3.00,9,6,15,1,4,7,2008,1866,,66.5,101.6,.280,.425,.530,46.4,60.0,10.5,9.2,.497,16.4,28.2,.207
290,Southern Mississippi,28,9,19,.321,-5.31,3.29,5,10,8,6,1,10,1872,2030,,68.8,104.9,.334,.463,.546,48.9,52.7,10.7,6.3,.510,15.8,27.4,.246
291,Southern Utah,28,14,14,.500,0.01,-1.61,7,10,8,5,5,9,2017,1845,,70.6,92.1,.353,.351,.490,46.4,49.2,8.1,10.6,.445,15.7,23.0,.254
292,Southern,28,13,15,.464,-10.83,-8.99,10,5,8,1,4,14,1918,1883,,69.3,96.6,.472,.326,.528,47.5,42.8,8.6,8.1,.485,17.9,25.9,.323
293,St. Bonaventure,28,18,10,.643,3.94,1.72,10,5,8,5,7,5,1940,1855,,66.1,99.4,.322,.452,.521,47.4,60.6,8.0,7.9,.491,16.3,26.4,.219
294,St. Francis (NY),29,12,17,.414,-11.43,-7.11,6,11,9,5,3,12,2025,2082,,70.9,100.8,.365,.330,.531,51.0,46.2,7.6,7.5,.495,16.9,28.5,.255
295,St. John's (NY),28,14,14,.500,9.89,6.89,3,12,11,6,1,7,2078,1994,,74.7,95.3,.370,.423,.513,51.3,58.5,7.0,9.6,.479,19.8,31.2,.250
296,Stanford,28,19,9,.679,14.38,5.70,8,7,13,4,4,4,1968,1725,,68.9,88.6,.318,.377,.481,50.9,46.6,9.0,11.4,.445,19.6,27.9,.217
297,Stephen F. Austin,28,25,3,.893,3.73,-7.11,16,1,14,1,11,2,2259,1872,,74.8,89.0,.457,.392,.541,44.4,54.6,10.3,8.4,.494,26.3,26.4,.330
298,Stetson,30,15,15,.500,-10.39,-5.43,9,6,7,6,7,8,1907,1976,,64.7,101.4,.299,.483,.523,48.1,61.5,8.7,9.0,.496,15.9,28.3,.203
299,Stony Brook,29,18,11,.621,-1.50,-4.07,9,5,9,4,7,7,2030,1911,,70.6,92.6,.271,.419,.487,48.1,57.6,9.0,8.8,.456,16.7,27.2,.188
300,Syracuse,28,16,12,.571,12.28,7.35,9,8,11,6,5,4,2069,1931,,68.5,100.2,.314,.481,.518,50.7,72.5,9.0,8.0,.481,17.2,31.6,.229
301,Temple,28,14,14,.500,6.94,5.87,6,9,8,5,4,7,1945,1915,,71.4,94.6,.289,.422,.501,50.4,56.8,9.3,10.7,.466,16.6,26.5,.208
302,Tennessee-Martin,28,8,20,.286,-14.43,-3.86,4,13,5,6,2,12,2107,2304,,70.1,117.0,.270,.416,.593,52.0,60.5,9.4,8.5,.576,15.3,34.5,.186
303,Tennessee State,30,17,13,.567,-6.52,-5.49,9,8,11,2,4,11,2168,2148,,70.9,100.6,.376,.373,.517,46.3,44.4,9.2,7.7,.473,15.2,27.5,.273
304,Tennessee Tech,30,9,21,.300,-13.72,-4.58,6,11,6,8,3,11,1962,2166,,69.0,103.8,.266,.377,.554,50.5,59.6,10.2,9.5,.531,17.5,27.9,.188
305,Tennessee,28,15,13,.536,11.07,7.57,7,8,10,5,3,7,1872,1774,,66.8,94.8,.357,.343,.491,48.7,45.2,11.6,8.9,.449,16.8,29.6,.251
306,Texas A&M-Corpus Christi,28,11,17,.393,-10.97,-5.74,7,10,7,6,4,11,1814,1912,,68.1,100.2,.400,.353,.525,48.4,53.7,12.5,10.8,.478,16.6,28.6,.293
307,Texas A&M,27,14,13,.519,3.93,6.08,8,7,10,6,4,3,1689,1747,,65.7,98.0,.259,.496,.521,50.6,64.4,10.2,12.0,.488,19.6,32.3,.194
308,Texas-Arlington,29,13,16,.448,2.86,2.56,9,9,8,6,5,9,2034,1975,,69.3,98.2,.345,.363,.503,50.7,53.4,7.3,9.1,.468,15.5,28.5,.235
309,Texas Christian,28,15,13,.536,9.27,9.09,6,9,13,4,1,8,1827,1801,,65.6,96.7,.302,.343,.519,48.4,64.6,9.2,12.2,.494,18.8,28.9,.198
310,Texas-El Paso,28,14,14,.500,-1.27,0.17,5,10,12,4,1,9,1867,1846,,69.1,95.0,.340,.370,.511,50.5,45.9,8.7,7.5,.473,17.8,25.8,.240
311,Texas-Rio Grande Valley,28,12,16,.429,-7.66,-3.58,7,7,10,3,2,11,2022,1987,,70.7,99.4,.432,.353,.564,51.0,60.0,8.0,5.6,.525,21.7,28.1,.308
312,Texas-San Antonio,28,12,16,.429,-2.47,0.57,6,9,9,4,3,8,2190,2166,,74.0,102.7,.375,.398,.541,49.4,47.0,7.6,9.5,.507,16.3,25.9,.261
313,Texas Southern,27,13,14,.481,-10.19,-4.46,10,4,8,1,5,13,1948,2059,,74.4,101.1,.334,.359,.531,49.6,52.6,9.9,9.2,.496,17.0,30.2,.240
314,Texas State,29,19,10,.655,5.47,-0.31,12,6,14,3,5,7,2113,1847,,67.5,94.3,.378,.378,.510,49.9,51.0,7.5,8.1,.465,19.4,29.9,.271
315,Texas Tech,28,18,10,.643,17.32,7.39,9,6,13,2,3,6,2042,1764,,68.8,90.3,.356,.355,.500,49.6,44.7,8.9,9.4,.458,20.7,28.7,.249
316,Texas,28,17,11,.607,10.60,9.24,7,8,11,5,4,5,1810,1772,,66.3,95.5,.348,.274,.498,52.7,43.3,9.7,9.5,.466,18.0,33.0,.227
317,Toledo,28,14,14,.500,1.23,-1.48,6,9,7,6,7,8,2112,1980,,69.6,101.1,.265,.372,.511,48.5,45.7,9.8,9.1,.481,14.6,28.5,.187
318,Towson,30,18,12,.600,0.44,-1.52,11,6,9,5,7,4,2121,1981,,65.9,99.3,.306,.432,.513,45.9,52.9,7.2,7.2,.474,14.6,26.3,.226
319,Troy,29,9,20,.310,-8.79,-1.60,5,13,6,8,3,12,2004,2120,,71.1,102.0,.378,.395,.539,50.8,55.6,9.3,10.6,.504,17.7,30.1,.265
320,Tulane,28,12,16,.429,0.43,2.82,4,12,7,5,3,7,1907,1974,,69.2,101.4,.287,.442,.555,55.3,63.1,7.3,8.5,.531,20.0,30.1,.198
321,Tulsa,28,19,9,.679,7.91,3.09,11,4,14,2,5,6,1920,1785,,67.1,93.4,.281,.459,.497,49.7,53.2,10.7,9.8,.464,18.5,28.5,.200
322,UCLA,29,18,11,.621,9.33,7.72,11,5,12,4,5,4,2032,1961,,66.7,100.5,.358,.380,.540,45.4,46.8,8.6,8.2,.500,17.3,25.2,.264
323,Utah State,30,23,7,.767,14.37,3.84,12,5,15,1,4,5,2313,1905,,69.2,90.6,.262,.421,.486,43.4,46.9,9.4,9.0,.456,16.5,21.1,.181
324,Utah Valley,29,11,18,.379,-7.19,-4.15,5,9,6,6,5,12,2054,2070,,71.6,98.9,.334,.295,.516,50.4,47.6,8.2,10.5,.473,15.4,25.9,.249
325,Utah,28,15,13,.536,8.66,7.73,6,10,11,2,1,9,1977,1951,,68.1,101.4,.219,.356,.527,48.1,50.3,9.7,11.2,.502,15.9,26.8,.159
326,Valparaiso,30,16,14,.533,1.94,1.08,9,8,11,2,4,9,2185,2133,,70.1,100.2,.310,.349,.544,51.0,52.1,9.0,7.9,.516,18.4,27.3,.215
327,Vanderbilt,28,9,19,.321,2.99,5.92,1,14,9,10,0,8,1992,2074,,69.7,105.3,.370,.327,.561,53.1,49.5,7.9,12.5,.524,17.5,29.1,.272
328,Vermont,29,22,7,.759,6.21,-4.18,12,2,10,3,11,3,2040,1700,,66.4,88.3,.307,.404,.478,46.9,50.9,8.8,8.0,.438,17.4,23.3,.219
329,Villanova,28,22,6,.786,17.29,9.72,11,4,12,2,7,3,2066,1854,,67.7,97.3,.231,.313,.506,48.6,47.1,8.5,10.9,.480,14.9,24.4,.162
330,Virginia Commonwealth,28,17,11,.607,9.85,4.07,7,8,13,3,4,6,1976,1814,,69.9,92.7,.348,.343,.515,51.8,52.1,9.6,9.0,.477,21.6,30.0,.246
331,VMI,30,8,22,.267,-6.79,-2.16,3,14,5,10,2,11,2149,2114,,67.7,102.3,.380,.402,.538,50.2,54.4,7.9,9.5,.500,16.7,27.8,.271
332,Virginia Tech,28,15,13,.536,8.76,5.19,6,11,11,6,3,5,1960,1860,,66.2,97.7,.258,.426,.509,51.5,53.3,5.8,10.8,.483,15.5,24.9,.176
333,Virginia,27,20,7,.741,11.60,6.67,12,5,12,3,6,4,1556,1423,,60.2,86.3,.223,.427,.462,47.1,47.7,11.1,7.9,.435,17.1,23.3,.152
334,Wagner,28,8,20,.286,-14.27,-5.49,5,12,5,7,3,13,1923,2130,,69.1,108.6,.451,.412,.574,50.1,59.8,9.8,8.8,.537,16.4,28.8,.319
335,Wake Forest,27,12,15,.444,7.48,8.11,5,12,8,5,1,9,1973,1990,,70.8,102.2,.363,.360,.525,48.3,49.3,10.3,9.9,.487,14.0,26.2,.255
336,Washington State,28,14,14,.500,4.39,3.75,5,10,11,5,1,7,1939,1921,,70.3,96.7,.305,.317,.532,50.8,44.5,7.3,9.6,.504,19.0,25.3,.209
337,Washington,28,13,15,.464,12.17,7.49,3,12,10,6,1,7,1956,1825,,69.7,92.7,.300,.379,.474,50.4,59.9,9.6,5.7,.435,16.4,32.0,.213
338,Weber State,27,11,16,.407,-8.00,0.29,7,9,8,4,3,8,1877,1909,,68.7,101.9,.230,.336,.531,52.1,52.1,8.6,7.2,.508,15.4,26.4,.163
339,West Virginia,28,19,9,.679,18.69,10.22,7,8,13,1,3,8,1964,1727,,69.6,88.2,.376,.373,.485,44.5,47.8,10.7,7.9,.437,20.0,27.7,.268
340,Western Carolina,28,18,10,.643,-0.14,-2.10,10,7,10,4,8,6,2232,2096,,72.8,101.9,.305,.413,.529,46.4,45.2,9.1,11.2,.496,14.9,24.4,.220
341,Western Illinois,25,5,20,.200,-14.32,-2.84,2,13,4,10,1,10,1871,2057,,73.1,111.5,.336,.353,.581,53.0,42.0,6.6,6.5,.547,14.0,24.9,.251
342,Western Kentucky,28,19,9,.679,4.39,0.91,12,4,12,2,5,5,2134,1997,,69.9,100.3,.199,.379,.520,51.7,46.5,7.8,8.2,.497,16.7,30.6,.144
343,Western Michigan,28,11,17,.393,-5.95,-0.03,4,11,8,5,3,10,1937,2022,,68.9,103.5,.310,.379,.527,51.8,48.0,8.9,8.5,.497,14.4,28.7,.215
344,Wichita State,28,21,7,.750,13.47,5.18,9,6,16,2,4,4,2022,1790,,71.1,89.1,.394,.347,.488,47.1,45.8,8.9,10.7,.442,18.5,24.5,.275
345,William & Mary,30,20,10,.667,-2.07,-2.69,12,5,10,2,10,7,2139,2061,,68.1,100.9,.266,.341,.514,47.0,44.3,10.0,8.5,.483,12.9,23.2,.191
346,Winthrop,30,20,10,.667,0.77,-5.73,14,3,10,4,10,6,2421,2151,,72.4,97.8,.420,.382,.535,45.1,51.5,9.0,9.5,.502,18.2,24.3,.280
347,Wisconsin,28,18,10,.643,15.57,10.78,11,6,13,1,5,6,1888,1754,,64.5,96.7,.247,.329,.498,50.3,47.9,8.0,9.6,.470,15.0,25.9,.172
348,Wofford,30,16,14,.533,0.24,-1.65,8,9,10,5,6,9,2176,2054,,67.2,100.6,.316,.429,.541,50.5,51.7,8.8,8.1,.510,16.9,26.1,.223
349,Wright State,30,24,6,.800,3.06,-6.77,14,3,14,2,8,3,2460,2129,,73.3,95.6,.261,.327,.497,47.9,40.4,8.5,6.7,.466,16.8,29.1,.186
350,Wyoming,29,7,22,.241,-4.31,4.47,2,15,4,13,3,7,1779,2011,,67.1,102.0,.348,.418,.534,56.5,49.0,9.2,8.5,.502,16.6,28.3,.240
351,Xavier,28,18,10,.643,12.94,9.11,7,8,12,4,4,5,1983,1876,,69.3,94.6,.289,.364,.492,47.5,50.1,9.8,8.9,.455,16.0,27.1,.208
352,Yale,26,20,6,.769,7.57,-1.81,8,2,8,1,10,5,2006,1674,,68.3,90.8,.260,.398,.482,45.0,51.3,9.5,8.7,.447,15.4,21.3,.188
353,Youngstown State,30,16,14,.533,-5.77,-4.77,9,8,12,4,4,10,2204,2158,,68.9,103.1,.301,.328,.528,47.0,49.4,8.0,8.5,.498,14.9,28.8,.210
